Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id,key_passes,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,271867,0.0,1,1,0.0,0,0,0,0,45,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,7,0,0,0,0,2,0,254949,0.0,1,3,0.0,0,-33222,4528,37750,45,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,5,0,0,0,0,3,0,231206,0.0,3,1,0.0,0,-27897,3457,31354,45,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,208468,0.0,2,1,0.0,0,-25226,4786,30012,44,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,13,0,0,0,0,5,0,190375,0.0,3,1,0.0,0,-20298,2137,22435,44,True,0,3,5,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,11,0,0,0,0,6,0,178436,0.0,1,3,0.0,0,-12703,1183,13886,43,False,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,17,0,0,0,0,7,0,169335,0.0,0,2,0.0,0,-9416,1816,11232,43,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,161392,0.0,2,2,0.0,0,-8284,1546,9830,43,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,156072,0.0,1,4,0.0,0,-6100,1210,7310,43,False,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,9,0,0,0,0,10,0,149356,0.0,1,0,0.0,0,-6922,1146,8068,43,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,4,0,0,0,0,11,0,144731,0.0,2,3,0.0,0,-4871,1111,5982,42,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,16,0,0,0,0,12,0,142559,0.0,2,3,0.0,0,-2426,1205,3631,42,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,6,0,0,0,0,13,0,140121,0.0,2,1,0.0,0,-2753,1751,4504,42,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,8,0,0,0,0,14,0,137568,0.0,1,1,0.0,0,-2831,1199,4030,42,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,20,0,0.0,533,0.0,0.0,0.0,1.74,148,1,0,4.0,40.2,2023-12-07T20:15:00Z,90,18,0,0,0,0,15,5,134800,1.0,2,1,0.0,3,-2886,898,3784,42,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,16,0,0.0,533,0.0,0.0,0.0,2.34,155,5,0,2.4,23.8,2023-12-10T14:00:00Z,90,10,0,0,0,0,16,3,143289,1.0,0,5,0.0,1,7785,9994,2209,42,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,27,1,0.0,533,0.0,0.0,0.0,0.65,170,0,0,1.9,19.0,2023-12-17T14:00:00Z,90,20,0,0,0,0,17,3,144139,1.0,0,3,0.0,8,732,4160,3428,42,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,149960,0.0,0,2,0.0,0,5166,7419,2253,42,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,181,0,0,0.0,0.0,2023-12-28T20:15:00Z,0,1,0,0,0,0,19,0,145504,0.0,2,0,0.0,0,-4026,1130,5156,42,False,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,5,0,0,0,0,20,0,141835,0.0,0,0,0.0,0,-3893,1113,5006,42,True,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,3,0,0.0,533,0.0,0.0,0.0,0.79,210,1,0,0.0,0.0,2024-01-21T14:00:00Z,1,17,0,0,0,0,21,0,138420,0.0,2,2,0.0,1,-3721,2705,6426,42,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,0,0.0,533,0.0,0.0,0.0,0.0,217,0,0,0.0,0.0,2024-02-01T19:30:00Z,0,3,0,0,0,0,22,0,137280,0.0,1,1,0.0,0,-1565,999,2564,42,True,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,3,0,0.0,533,0.0,0.0,0.0,0.63,228,2,0,0.2,1.8,2024-02-04T14:00:00Z,45,14,0,0,0,0,23,0,136037,0.0,0,3,0.0,0,-1358,329,1687,42,False,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,18,0,0.0,400,,,,,5,4,0,3.0,30.4,2018-08-12T12:30:00Z,90,12,0,0,0,0,1,4,911117,,0,4,0.0,1,0,0,0,45,False,0,3,5,25.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,12 Aug 13:30,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
